score,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4
-30,132755,133330,134366,134836,135193,135221,135598,136273,136860,137474,138090,138171,138234,138238,138232,138199,138008,137811,137306,136903,136481,135641,135118,134062,132745,130881,127991
-29,132836,133740,134521,134843,135238,135369,135654,136586,136981,137783,138154,138292,138237,138172,138268,138160,138008,137811,137306,136903,136481,135641,135118,134062,132745,130881,127991
-28,133528,134414,134883,135135,135236,135510,136015,136763,137168,137860,138085,138112,138260,138160,138236,138189,138008,137811,137306,136903,136481,135641,135118,134062,132745,130881,127991
-27,133682,134584,134844,135190,135264,135678,136143,136747,137540,137972,138228,138202,138172,138203,138126,138093,137937,137811,137306,136903,136481,135641,135118,134062,132745,130881,127991
-26,134164,134818,134975,135256,135615,135775,136352,136870,137660,138108,138198,138217,138171,138173,138175,138006,137830,137811,137306,136903,136481,135641,135118,134062,132745,130881,127991
-25,134484,134938,135214,135391,135646,135813,136661,137033,137757,138143,138199,138195,138085,138151,138094,137962,137838,137719,137306,136903,136481,135641,135118,134062,132745,130881,127991
-24,134726,135057,135214,135583,135663,136128,136704,137409,137988,138224,138255,138201,138181,138091,138044,137947,137794,137509,137306,136903,136481,135641,135118,134062,132745,130881,127991
-23,134947,135216,135417,135529,135732,136166,136812,137659,138019,138160,138238,138145,138181,138045,137982,137792,137673,137445,137105,136903,136481,135641,135118,134062,132745,130881,127991
-22,135084,135405,135365,135748,136038,136554,137198,137622,138111,138272,138191,138066,138031,138015,137968,137693,137530,137237,137132,136903,136481,135641,135118,134062,132745,130881,127991
-21,135314,135382,135706,135938,136169,136878,137528,138026,138246,138245,138170,138110,138074,137895,137747,137569,137340,137210,137110,136855,136481,135641,135118,134062,132745,130881,127991
-20,135356,135368,135597,136065,136509,137412,137728,138043,138221,138189,138043,138042,138026,137922,137646,137564,137265,137147,136921,136697,136481,135641,135118,134062,132745,130881,127991
-19,135368,135630,135925,136166,137012,137666,137957,138206,138139,138069,138030,138021,138002,137689,137614,137413,137215,136963,136884,136578,136318,135641,135118,134062,132745,130881,127991
-18,135391,135683,136126,136572,137390,137787,138145,138219,138131,138052,138046,138021,137808,137740,137451,137297,137103,136929,136608,136379,136048,135641,135118,134062,132745,130881,127991
-17,135591,136104,136100,136998,137735,138025,138175,138173,137993,138026,138035,137894,137743,137500,137323,137217,137000,136708,136396,136282,135860,135628,135118,134062,132745,130881,127991
-16,135917,136149,136643,137533,137959,138244,138207,138033,138074,138030,137920,137774,137560,137379,137265,136885,136862,136561,136389,136029,135714,135466,135118,134062,132745,130881,127991
-15,136098,136429,137044,137940,138182,138200,138089,138032,137970,137919,137708,137591,137477,137268,136981,136853,136605,136440,136132,135805,135563,135183,134871,134062,132745,130881,127991
-14,136400,136582,137869,137980,138123,138147,138029,138002,137880,137721,137618,137477,137248,136996,136904,136580,136383,136181,135927,135632,135302,135030,134527,134064,132745,130881,127991
-13,136491,137266,137904,137981,138186,137987,137997,137848,137804,137586,137484,137248,137030,136837,136627,136417,136034,135939,135619,135255,134933,134597,134210,133769,132745,130881,127991
-12,137025,137854,137945,138127,137910,137932,137790,137804,137554,137435,137190,136959,136850,136595,136365,136112,135968,135697,135352,135031,134672,134368,133953,133305,132745,130881,127991
-11,137690,137845,138040,138061,137901,137841,137752,137480,137433,137082,136869,136738,136461,136280,135921,135775,135647,135400,135080,134714,134395,133984,133498,132893,132206,130881,127991
-10,137915,137998,138082,137888,137855,137691,137445,137224,136955,136798,136603,136423,136101,135918,135721,135415,135144,134923,134518,134246,134003,133468,132937,132349,131838,130879,127991
-9,138005,137834,137913,137786,137592,137345,137003,136868,136757,136491,136280,135911,135802,135600,135341,134857,134742,134395,134184,133879,133520,132997,132357,131884,130929,130111,127991
-8,137959,137858,137767,137589,137157,137059,136858,136505,136340,136014,135795,135655,135493,134995,134777,134535,134197,133841,133611,133054,132757,132261,131771,131017,130299,129330,127991
-7,137713,137490,137327,137104,136893,136611,136379,136184,135762,135571,135550,135059,134693,134389,134240,133971,133621,132988,132788,132396,131994,131477,130959,130356,129356,128409,127236
-6,137348,137107,136960,136566,136437,136093,135686,135532,135426,134979,134654,134371,134181,133743,133413,133037,132556,132353,131887,131374,130985,130276,129701,129164,128378,127335,125842
-5,136813,136547,136311,135908,135587,135320,135086,134754,134408,134238,133876,133489,133151,132699,132475,131980,131611,131068,130564,130065,129443,128815,128291,127665,126846,125774,124293
-4,135972,135658,135189,134850,134642,134414,134109,133804,133429,133188,132858,132335,131973,131518,131017,130575,129951,129369,128784,128144,127531,127013,126203,125461,124756,123850,122384
